PB Role URI	PB RoleSet	PB Role	VerbNet Role URI for FRED	VN_Role	VN_Sense	VerbNet VerbSense URI for FRED
https://w3id.org/framester/pb/pbdata/judge.01__1	judge.01	ARG1	https://w3id.org/framester/vn/vn31/data/Theme.judge_34020000	Theme	Judge_34020000	https://w3id.org/framester/vn/vn31/data/Judge_34020000
https://w3id.org/framester/pb/pbdata/judge.01__2	judge.01	ARG2	https://w3id.org/framester/vn/vn31/data/Attribute.judge_29020000	Attribute	Judge_29020000	https://w3id.org/framester/vn/vn31/data/Judge_29020000
https://w3id.org/framester/pb/pbdata/jug.01__0	jug.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.jug_90100000	Agent	Jug_90100000	https://w3id.org/framester/vn/vn31/data/Jug_90100000
https://w3id.org/framester/pb/pbdata/jug.01__1	jug.01	ARG1	https://w3id.org/framester/vn/vn31/data/Theme.jug_90100000	Theme	Jug_90100000	https://w3id.org/framester/vn/vn31/data/Jug_90100000
https://w3id.org/framester/pb/pbdata/jump.03__0	jump.03	ARG0	https://w3id.org/framester/vn/vn31/data/Theme.jump_51030200	Theme	Jump_51030200	https://w3id.org/framester/vn/vn31/data/Jump_51030200
https://w3id.org/framester/pb/pbdata/jump.03__DIR	jump.03	ARG-DIR	https://w3id.org/framester/vn/vn31/data/Agent.jump_51030200	Agent	Jump_51030200	https://w3id.org/framester/vn/vn31/data/Jump_51030200
https://w3id.org/framester/pb/pbdata/jump.04__0	jump.04	ARG0	https://w3id.org/framester/vn/vn31/data/Theme.jump_51030200	Theme	Jump_51030200	https://w3id.org/framester/vn/vn31/data/Jump_51030200
https://w3id.org/framester/pb/pbdata/jump.04__1	jump.04	ARG1	https://w3id.org/framester/vn/vn31/data/Location.jump_51030200	Location	Jump_51030200	https://w3id.org/framester/vn/vn31/data/Jump_51030200
https://w3id.org/framester/pb/pbdata/jump.04__DIR	jump.04	ARG-DIR	https://w3id.org/framester/vn/vn31/data/Location.jump_51030200	Location	Jump_51030200	https://w3id.org/framester/vn/vn31/data/Jump_51030200
https://w3id.org/framester/pb/pbdata/justify.01__0	justify.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.justify_37010100	Agent	Justify_37010100	https://w3id.org/framester/vn/vn31/data/Justify_37010100
