pbrole	pbrolelabel	pbrolesup	varole
pbdata:stuck-01__1	pblocalrole:captive	pbschema:ARG1	
pbdata:stuck-01__1	pblocalrole:captive	pbschema:ARG-PPT	
pbdata:stuck-01__2	pblocalrole:situation	pbschema:ARG2	
pbdata:stuck-01__2	pblocalrole:situation	pbschema:ARG-PRD	
pbdata:stud-01__0	pblocalrole:attacher_of_studs	pbschema:ARG0	va:Agent
pbdata:stud-01__0	pblocalrole:attacher_of_studs	pbschema:ARG-PAG	va:Agent
pbdata:stud-01__1	pblocalrole:attached_to	pbschema:ARG1	va:Recipient
pbdata:stud-01__1	pblocalrole:attached_to	pbschema:ARG-GOL	va:Recipient
pbdata:stud-01__2	pblocalrole:studs	pbschema:ARG2	va:Theme
pbdata:stud-01__2	pblocalrole:studs	pbschema:ARG-PPT	va:Theme
pbdata:study-01__0	pblocalrole:student	pbschema:ARG0	va:Agent
pbdata:study-01__0	pblocalrole:student	pbschema:ARG-PAG	va:Agent
pbdata:study-01__1	pblocalrole:subject	pbschema:ARG1	va:Theme
pbdata:study-01__1	pblocalrole:subject	pbschema:ARG-PPT	va:Theme
pbdata:study-01__2	pblocalrole:teacher	pbschema:ARG2	
pbdata:study-01__2	pblocalrole:teacher	pbschema:ARG-DIR	
pbdata:study-up-02__0	pblocalrole:student	pbschema:ARG0	
pbdata:study-up-02__0	pblocalrole:student	pbschema:ARG-PAG	
pbdata:study-up-02__1	pblocalrole:subject	pbschema:ARG1	
pbdata:study-up-02__1	pblocalrole:subject	pbschema:ARG-PPT	
pbdata:stuff-01__0	pblocalrole:packer	pbschema:ARG0	va:Agent
pbdata:stuff-01__0	pblocalrole:packer	pbschema:ARG-PAG	va:Agent
pbdata:stuff-01__1	pblocalrole:container	pbschema:ARG1	va:Destination
pbdata:stuff-01__1	pblocalrole:container	pbschema:ARG-GOL	va:Destination
pbdata:stuff-01__2	pblocalrole:substance	pbschema:ARG2	va:Theme
pbdata:stuff-01__2	pblocalrole:substance	pbschema:ARG-PPT	va:Theme
pbdata:stultify-01__0	pblocalrole:causer_of_appearance	pbschema:ARG0	
pbdata:stultify-01__0	pblocalrole:causer_of_appearance	pbschema:ARG-PAG	
pbdata:stultify-01__1	pblocalrole:entity_appearing_foolish	pbschema:ARG1	
pbdata:stultify-01__1	pblocalrole:entity_appearing_foolish	pbschema:ARG-PPT	
pbdata:stultify-01__2	pblocalrole:instrument	pbschema:ARG2	
pbdata:stultify-01__2	pblocalrole:instrument	pbschema:ARG-MNR	
