pbframe	pbframelabel	pbrole	fnframe	vaframe
pbrs:gel-01	set/solidify, combine into a solid whole	pblr:gel-01.second-ingredient		
pbrs:gel-01	set/solidify, combine into a solid whole	pblr:gel-01.first-ingredient		
pbrs:gelatinize-01	(cause to) become gelatinous	pblr:gelatinize-01.cause-of-transformation		
pbrs:gelatinize-01	(cause to) become gelatinous	pblr:gelatinize-01.entity-made-into-gelatin		
pbrs:gelatinize-01	(cause to) become gelatinous	pblr:gelatinize-01.instrument		
pbrs:geminate-01	arrange in pairs	pblr:geminate-01.arranger		
pbrs:geminate-01	arrange in pairs	pblr:geminate-01.paired-item		
pbrs:gen-up-01	brief/inform, fully	pblr:gen-up-01.the-intelligence		
pbrs:gen-up-01	brief/inform, fully	pblr:gen-up-01.entity-learning		
pbrs:gen-up-01	brief/inform, fully	pblr:gen-up-01.agent		
pbrs:general-02	shared by, common, usual	pblr:general-02.common-thing		
pbrs:general-02	shared by, common, usual	pblr:general-02.entities-sharing-arg-1		
pbrs:generalize-01	to reduce to a general form	pblr:generalize-01.thing-becoming-generalized		va:0548f
pbrs:generalize-01	to reduce to a general form	pblr:generalize-01.entity-making-a-generalization		va:0548f
pbrs:generalize-01	to reduce to a general form	pblr:generalize-01.entities-sharing-arg-1		va:0548f
pbrs:generate-01	create	pblr:generate-01.source		va:0586f
pbrs:generate-01	create	pblr:generate-01.benefactive		va:0586f
pbrs:generate-01	create	pblr:generate-01.thing-created		va:0586f
pbrs:generate-01	create	pblr:generate-01.creator		va:0586f
pbrs:generate-01	create	pblr:generate-01.attribute		va:0586f
pbrs:generous-01	generous	pblr:generous-01.given-thing		
pbrs:generous-01	generous	pblr:generous-01.recipient-of-thing-given		
pbrs:generous-01	generous	pblr:generous-01.giver		
pbrs:genocide-01	cause to undergo genocide	pblr:genocide-01.instrument-of-genocide		
pbrs:genocide-01	cause to undergo genocide	pblr:genocide-01.agent		
pbrs:genocide-01	cause to undergo genocide	pblr:genocide-01.entity-undergoing-genocide		
pbrs:gentle-01	to pacify, make gentle	pblr:gentle-01.entity-soothed		
pbrs:gentle-01	to pacify, make gentle	pblr:gentle-01.agent		
pbrs:gentrify-01	turning into the gentry	pblr:gentrify-01.agent-of-gentrification		
pbrs:gentrify-01	turning into the gentry	pblr:gentrify-01.gentrified-entity		
pbrs:genuflect-01	bow	pblr:genuflect-01.bowed-to		
pbrs:genuflect-01	bow	pblr:genuflect-01.bower		
pbrs:genuine-01	sincere	pblr:genuine-01.sincere-in-what-aspect		
pbrs:genuine-01	sincere	pblr:genuine-01.sincere-entity		
pbrs:genuine-02	not fake, authentic	pblr:genuine-02.authentic-thing		
pbrs:geotag-01	provide geographic location via metadata	pblr:geotag-01.geotag-giver		
pbrs:geotag-01	provide geographic location via metadata	pblr:geotag-01.thing-geotagged		
pbrs:geotag-01	provide geographic location via metadata	pblr:geotag-01.location-given		
pbrs:geranylgeranylate-01	introduce a geranylgeranyl group into a molecule	pblr:geranylgeranylate-01.intentional-agent-of-geranylgeranylation		
pbrs:geranylgeranylate-01	introduce a geranylgeranyl group into a molecule	pblr:geranylgeranylate-01.result-of-geranylgeranylation		
pbrs:geranylgeranylate-01	introduce a geranylgeranyl group into a molecule	pblr:geranylgeranylate-01.instrument		
pbrs:geranylgeranylate-01	introduce a geranylgeranyl group into a molecule	pblr:geranylgeranylate-01.thing-geranylgeranylated		
pbrs:germanize-01	(cause to) be german in character or  language	pblr:germanize-01.causer		
pbrs:germanize-01	(cause to) be german in character or  language	pblr:germanize-01.entity-germanized		
pbrs:germanize-01	(cause to) be german in character or  language	pblr:germanize-01.instrument		
pbrs:germinate-01	young plants appearing, causing to sprout or grow	pblr:germinate-01.farmer		va:0089f
pbrs:germinate-01	young plants appearing, causing to sprout or grow	pblr:germinate-01.plant		va:0089f
pbrs:germinate-01	young plants appearing, causing to sprout or grow	pblr:germinate-01.field-or-medium		va:0089f
pbrs:gestate-01	gestate, carry offspring, enabling/ allowing to develop	pblr:gestate-01.offspring		
pbrs:gestate-01	gestate, carry offspring, enabling/ allowing to develop	pblr:gestate-01.agent		
pbrs:gesticulate-01	express by waving	pblr:gesticulate-01.expresser		
pbrs:gesture-01	body language	pblr:gesture-01.hearer		va:0369f
pbrs:gesture-01	body language	pblr:gesture-01.agent		va:0369f
pbrs:gesture-01	body language	pblr:gesture-01.theme		va:0369f
pbrs:get-01	transfer of goods, acquire	pblr:get-01.thing-gotten		va:0046f
pbrs:get-01	transfer of goods, acquire	pblr:get-01.thing-gotten		va:0114f
pbrs:get-01	transfer of goods, acquire	pblr:get-01.thing-gotten		va:0290f
pbrs:get-01	transfer of goods, acquire	pblr:get-01.receiver		va:0046f
pbrs:get-01	transfer of goods, acquire	pblr:get-01.receiver		va:0114f
pbrs:get-01	transfer of goods, acquire	pblr:get-01.receiver		va:0290f
pbrs:get-01	transfer of goods, acquire	pblr:get-01.benefactive		va:0046f
pbrs:get-01	transfer of goods, acquire	pblr:get-01.benefactive		va:0114f
pbrs:get-01	transfer of goods, acquire	pblr:get-01.benefactive		va:0290f
pbrs:get-01	transfer of goods, acquire	pblr:get-01.price-paid		va:0046f
pbrs:get-01	transfer of goods, acquire	pblr:get-01.price-paid		va:0114f
pbrs:get-01	transfer of goods, acquire	pblr:get-01.price-paid		va:0290f
pbrs:get-01	transfer of goods, acquire	pblr:get-01.giver		va:0046f
pbrs:get-01	transfer of goods, acquire	pblr:get-01.giver		va:0114f
pbrs:get-01	transfer of goods, acquire	pblr:get-01.giver		va:0290f
pbrs:get-02	have-got: already possess	pblr:get-02.haver		va:0066f
pbrs:get-02	have-got: already possess	pblr:get-02.haver		va:0016f
pbrs:get-02	have-got: already possess	pblr:get-02.haver		va:0040f
pbrs:get-02	have-got: already possess	pblr:get-02.thing-had		va:0066f
pbrs:get-02	have-got: already possess	pblr:get-02.thing-had		va:0016f
pbrs:get-02	have-got: already possess	pblr:get-02.thing-had		va:0040f
pbrs:get-03	become	pblr:get-03.thing		va:0016f
pbrs:get-03	become	pblr:get-03.thing		va:0114f
pbrs:get-03	become	pblr:get-03.attribute-of-arg1		va:0016f
pbrs:get-03	become	pblr:get-03.attribute-of-arg1		va:0114f
pbrs:get-04	cause to do or be something	pblr:get-04.instigator		va:0018f
pbrs:get-04	cause to do or be something	pblr:get-04.instigator		va:0368f
pbrs:get-04	cause to do or be something	pblr:get-04.a-clause		va:0018f
pbrs:get-04	cause to do or be something	pblr:get-04.a-clause		va:0368f
pbrs:get-05	move	pblr:get-05.destination		va:0153f
pbrs:get-05	move	pblr:get-05.destination		va:0046f
pbrs:get-05	move	pblr:get-05.thing-in-motion		va:0153f
pbrs:get-05	move	pblr:get-05.thing-in-motion		va:0046f
pbrs:get-05	move	pblr:get-05.causer-of-motion		va:0153f
pbrs:get-05	move	pblr:get-05.causer-of-motion		va:0046f
pbrs:get-06	must	pblr:get-06.subject		va:0398f
pbrs:get-06	must	pblr:get-06.subject		va:1005f
pbrs:get-06	must	pblr:get-06.complement		va:0398f
pbrs:get-06	must	pblr:get-06.complement		va:1005f
pbrs:get-22	have the pleasure of doing something, 'i gettuh...'	pblr:get-22.benefactive		
pbrs:get-22	have the pleasure of doing something, 'i gettuh...'	pblr:get-22.action-done		
pbrs:get-28	get to: aggravate, annoy	pblr:get-28.aggravator		
pbrs:get-28	get to: aggravate, annoy	pblr:get-28.aggravated		
pbrs:get-30	understand, grasp conceptually	pblr:get-30.thing-understood		
pbrs:get-30	understand, grasp conceptually	pblr:get-30.understander		
pbrs:get-30	understand, grasp conceptually	pblr:get-30.source-of-understood-thing		
pbrs:get-along-18	have good relations	pblr:get-along-18.with-entity-2		
pbrs:get-along-18	have good relations	pblr:get-along-18.entity-1		
pbrs:get-around-31		pblr:get-around-31.obstacle		
pbrs:get-around-31		pblr:get-around-31.agent		
pbrs:get-around-32		pblr:get-around-32.task		
pbrs:get-around-32		pblr:get-around-32.agent		
pbrs:get-around-33		pblr:get-around-33.agent		
pbrs:get-away-08	manage to	pblr:get-away-08.entity-attempting-some-deed		
pbrs:get-away-08	manage to	pblr:get-away-08.the-deed		
pbrs:get-back-09	recover	pblr:get-back-09.thing-regained		
pbrs:get-back-09	recover	pblr:get-back-09.who-had-it-before		
pbrs:get-back-09	recover	pblr:get-back-09.recoverer		
pbrs:get-back-10	return	pblr:get-back-10.thing		
pbrs:get-back-10	return	pblr:get-back-10.original-state		
pbrs:get-back-19	get even: revenge	pblr:get-back-19.revenger		
pbrs:get-back-19	get even: revenge	pblr:get-back-19.committer-of-prior-offense		
pbrs:get-back-19	get even: revenge	pblr:get-back-19.prior-offense		
pbrs:get-back-25	respond to an inquiry/correspondence	pblr:get-back-25.entity-responding-to-correspondence		
pbrs:get-back-25	respond to an inquiry/correspondence	pblr:get-back-25.entity-responded-to		
pbrs:get-back-25	respond to an inquiry/correspondence	pblr:get-back-25.subject-matter		
pbrs:get-by-17	cope, manage	pblr:get-by-17.agent		
pbrs:get-by-17	cope, manage	pblr:get-by-17.what-getting-by-with-or-without		
pbrs:get-down-15	begin	pblr:get-down-15.beginner		
pbrs:get-down-15	begin	pblr:get-down-15.thing-begun		
pbrs:get-down-27	boogie, get in the groove with, possibly dance	pblr:get-down-27.to-what		
pbrs:get-down-27	boogie, get in the groove with, possibly dance	pblr:get-down-27.entity-jamming-out		
pbrs:get-even-16	get even: revenge	pblr:get-even-16.prior-offense		
pbrs:get-even-16	get even: revenge	pblr:get-even-16.revenger		
pbrs:get-even-16	get even: revenge	pblr:get-even-16.committer-of-prior-offense		
pbrs:get-grip-02	regain control over one's emotions/mental state, specifically	pblr:get-grip-02.entity-regaining-control		
pbrs:get-grip-02	regain control over one's emotions/mental state, specifically	pblr:get-grip-02.over-what		
pbrs:get-hold-17		pblr:get-hold-17.entity-making-contact		
pbrs:get-hold-17		pblr:get-hold-17.entity-contacted		
pbrs:get-hold-18		pblr:get-hold-18.grasper		
pbrs:get-hold-18		pblr:get-hold-18.grasped		
pbrs:get-kick-06		pblr:get-kick-06.enjoyer		
pbrs:get-kick-06		pblr:get-kick-06.thing-enjoyed		
pbrs:get-off-11	begin	pblr:get-off-11.manner		
pbrs:get-off-11	begin	pblr:get-off-11.thing-beginning		
pbrs:get-off-23	get away with something	pblr:get-off-23.deed-gotten-away-with		
pbrs:get-off-23	get away with something	pblr:get-off-23.person-getting-away-with-something		
pbrs:get-off-23	get away with something	pblr:get-off-23.outside-causal-agent		
pbrs:get-off-29	reach a state of euphoria (via drugs, sex, or random happy things)	pblr:get-off-29.pleasure-giving-stimulus		
pbrs:get-off-29	reach a state of euphoria (via drugs, sex, or random happy things)	pblr:get-off-29.outside-agent		
pbrs:get-off-29	reach a state of euphoria (via drugs, sex, or random happy things)	pblr:get-off-29.entity-experiencing-euphoria		
pbrs:get-on-20	have good relations	pblr:get-on-20.with-entity-2		
pbrs:get-on-20	have good relations	pblr:get-on-20.entity-1		
pbrs:get-on-21	continue on with something	pblr:get-on-21.causer-of-continuation		
pbrs:get-on-21	continue on with something	pblr:get-on-21.thing-continuing		
pbrs:get-out-07	produce	pblr:get-out-07.benefactive		
pbrs:get-out-07	produce	pblr:get-out-07.created-from		
pbrs:get-out-07	produce	pblr:get-out-07.creator		
pbrs:get-out-07	produce	pblr:get-out-07.creation		
pbrs:get-through-12	reach, connect with	pblr:get-through-12.entity-trying-to-be-contacted		
pbrs:get-through-12	reach, connect with	pblr:get-through-12.entity-trying-to-get-through		
pbrs:get-through-13	persevere	pblr:get-through-13.troubles		
pbrs:get-through-13	persevere	pblr:get-through-13.perseverer		
pbrs:get-together-14	meet	pblr:get-together-14.one-party		
pbrs:get-together-14	meet	pblr:get-together-14.the-other		
pbrs:get-up-26	arise from slumber	pblr:get-up-26.entity-waking-up		
pbrs:get-up-26	arise from slumber	pblr:get-up-26.time-of-waking		
pbrs:get-up-26	arise from slumber	pblr:get-up-26.agent		
pbrs:ghost-01	move like a ghost	pblr:ghost-01.moving-entity		
pbrs:ghost-01	move like a ghost	pblr:ghost-01.path-or-location		
pbrs:ghost-02	haunt or pursue	pblr:ghost-02.ghost		
pbrs:ghost-02	haunt or pursue	pblr:ghost-02.haunted-entity		
pbrs:ghost-03	write for someone else (ghost write)	pblr:ghost-03.ghost-writer		
pbrs:ghost-03	write for someone else (ghost write)	pblr:ghost-03.story		
pbrs:ghostauthor-01	write anonymously for another credited author	pblr:ghostauthor-01.ghost-writer		
pbrs:ghostauthor-01	write anonymously for another credited author	pblr:ghostauthor-01.written-work		
pbrs:ghostauthor-01	write anonymously for another credited author	pblr:ghostauthor-01.supposed-author		
pbrs:gibber-01	chatter	pblr:gibber-01.listener		
pbrs:gibber-01	chatter	pblr:gibber-01.utterance		
pbrs:gibber-01	chatter	pblr:gibber-01.speaker		
pbrs:gibe-01	utter mocking or scoffing words, jeer, taunt	pblr:gibe-01.reason		
pbrs:gibe-01	utter mocking or scoffing words, jeer, taunt	pblr:gibe-01.entity-taunted		
pbrs:gibe-01	utter mocking or scoffing words, jeer, taunt	pblr:gibe-01.taunter		
pbrs:giddy-01	experiencing frivolous joy	pblr:giddy-01.experiencer-of-giddiness		
pbrs:giddy-01	experiencing frivolous joy	pblr:giddy-01.causer-of-giddiness		
pbrs:gift-01	give	pblr:gift-01.thing-given		va:0189f
pbrs:gift-01	give	pblr:gift-01.giver		va:0189f
pbrs:gift-01	give	pblr:gift-01.entity-given-to		va:0189f
pbrs:giggle-01	laugh nervously	pblr:giggle-01.giggler		va:0339f
pbrs:gild-01	apply thin layer	pblr:gild-01.decorator		
pbrs:gild-01	apply thin layer	pblr:gild-01.thing-decorated		
pbrs:gild-01	apply thin layer	pblr:gild-01.decoration		
pbrs:gill-01	remove gills	pblr:gill-01.gutter		
pbrs:gill-01	remove gills	pblr:gill-01.instrument		
pbrs:gill-01	remove gills	pblr:gill-01.what-is-removed		
pbrs:gill-01	remove gills	pblr:gill-01.entity-being-gutted		
pbrs:gird-01	encircle	pblr:gird-01.thing-encircled		
pbrs:gird-01	encircle	pblr:gird-01.thing-going-around		
pbrs:gird-01	encircle	pblr:gird-01.entity-putting-something-around-something-else		
pbrs:gird-02	prepare, get ready for	pblr:gird-02.ready-for		va:0337f
pbrs:gird-02	prepare, get ready for	pblr:gird-02.preparer		va:0337f
pbrs:gird-02	prepare, get ready for	pblr:gird-02.thing-made-ready		va:0337f
pbrs:give-01	transfer	pblr:give-01.thing-given		va:0038f
pbrs:give-01	transfer	pblr:give-01.thing-given		va:0189f
pbrs:give-01	transfer	pblr:give-01.giver		va:0038f
pbrs:give-01	transfer	pblr:give-01.giver		va:0189f
pbrs:give-01	transfer	pblr:give-01.entity-given-to		va:0038f
pbrs:give-01	transfer	pblr:give-01.entity-given-to		va:0189f
pbrs:give-14	to be likely to, given to	pblr:give-14.thing-which-arg1-is-likely-to-do		
pbrs:give-14	to be likely to, given to	pblr:give-14.person-entity-likely-to-do-a-certain-way		
pbrs:give-16	idiomatic: to care (give a crap, etc)	pblr:give-16.giver		
pbrs:give-16	idiomatic: to care (give a crap, etc)	pblr:give-16.crap		
pbrs:give-16	idiomatic: to care (give a crap, etc)	pblr:give-16.about-what		
pbrs:give-17	yield when pressure is applied	pblr:give-17.to-what		
pbrs:give-17	yield when pressure is applied	pblr:give-17.thing-yielding		
pbrs:give-away-02	give away: transfer	pblr:give-away-02.thing-given		
pbrs:give-away-02	give away: transfer	pblr:give-away-02.giver		
pbrs:give-away-02	give away: transfer	pblr:give-away-02.entity-given-to		
pbrs:give-away-15	reveal what something really is	pblr:give-away-15.what-arg1-is-revealed-to-be		
pbrs:give-away-15	reveal what something really is	pblr:give-away-15.agent		
pbrs:give-away-15	reveal what something really is	pblr:give-away-15.thing-revealed		
pbrs:give-away-15	reveal what something really is	pblr:give-away-15.audience		
pbrs:give-back-03	give back: return	pblr:give-back-03.thing-given		
pbrs:give-back-03	give back: return	pblr:give-back-03.giver		
pbrs:give-back-03	give back: return	pblr:give-back-03.entity-given-to		
pbrs:give-hand-16		pblr:give-hand-16.benefactive		
pbrs:give-hand-16		pblr:give-hand-16.helper		
pbrs:give-hand-16		pblr:give-hand-16.project		
pbrs:give-in-09	give in: yield	pblr:give-in-09.entity-winning		
pbrs:give-in-09	give in: yield	pblr:give-in-09.entity-giving-way		
pbrs:give-lie-to-12		pblr:give-lie-to-12.refuter		
pbrs:give-lie-to-12		pblr:give-lie-to-12.thing-proven-false		
pbrs:give-off-04	give off: emit	pblr:give-off-04.thing-emit		
pbrs:give-off-04	give off: emit	pblr:give-off-04.emitter		
pbrs:give-out-05	give out: die	pblr:give-out-05.thing-dying		
pbrs:give-out-06	give out: distribute	pblr:give-out-06.distributor		
pbrs:give-out-06	give out: distribute	pblr:give-out-06.thing-distributed		
pbrs:give-out-06	give out: distribute	pblr:give-out-06.distributed-to		
pbrs:give-over-13	transfer	pblr:give-over-13.thing-given		
pbrs:give-over-13	transfer	pblr:give-over-13.entity-or-activity-given-to		
pbrs:give-over-13	transfer	pblr:give-over-13.giver		
pbrs:give-pass-24		pblr:give-pass-24.entity-forgiven		
pbrs:give-pass-24		pblr:give-pass-24.giver-of-pass		
pbrs:give-pass-24		pblr:give-pass-24.offense-ignored		
pbrs:give-rise-to-10		pblr:give-rise-to-10.to		
pbrs:give-rise-to-10		pblr:give-rise-to-10.rise		
pbrs:give-rise-to-10		pblr:give-rise-to-10.source-of-rise		
pbrs:give-up-07	give up: abandon	pblr:give-up-07.project		
pbrs:give-up-07	give up: abandon	pblr:give-up-07.abandoner		
pbrs:give-up-08	give up: surrender	pblr:give-up-08.given-to		
pbrs:give-up-08	give up: surrender	pblr:give-up-08.giver		
pbrs:give-up-08	give up: surrender	pblr:give-up-08.gift		
pbrs:give-vent-12		pblr:give-vent-12.thing-vented-about		
pbrs:give-vent-12		pblr:give-vent-12.vent		
pbrs:give-vent-12		pblr:give-vent-12.venter		
pbrs:glacierize-01	become/cover with glacier	pblr:glacierize-01.thing-with-a-glacier		
pbrs:glacierize-01	become/cover with glacier	pblr:glacierize-01.cause-of-glacier-formation		
pbrs:glad-02	happy and grateful, pleased	pblr:glad-02.stimulus		
pbrs:glad-02	happy and grateful, pleased	pblr:glad-02.glad-one		
pbrs:gladden-01	(cause to) become glad	pblr:gladden-01.instrumental		
pbrs:gladden-01	(cause to) become glad	pblr:gladden-01.agent		
pbrs:gladden-01	(cause to) become glad	pblr:gladden-01.patient		
pbrs:glamorize-01	make glamorous	pblr:glamorize-01.glamorous-thing		va:0400f
pbrs:glamorize-01	make glamorous	pblr:glamorize-01.causer-of-glamour		va:0400f
pbrs:glamorize-01	make glamorous	pblr:glamorize-01.adornment		va:0400f
pbrs:glance-01	look at briefly	pblr:glance-01.looker		va:0521f
pbrs:glance-01	look at briefly	pblr:glance-01.looked-at		va:0521f
pbrs:glare-01	to look at	pblr:glare-01.entity-glared-at		va:0521f
pbrs:glare-01	to look at	pblr:glare-01.glarer		va:0521f
pbrs:glass-01	cover with glass, glaze	pblr:glass-01.agent		
pbrs:glass-01	cover with glass, glaze	pblr:glass-01.thing-covered-in-glass		
pbrs:glass-01	cover with glass, glaze	pblr:glass-01.glass-itself		
pbrs:glass-02	to scan with binoculars	pblr:glass-02.looker		
pbrs:glass-02	to scan with binoculars	pblr:glass-02.scene-watched		
pbrs:glass-02	to scan with binoculars	pblr:glass-02.scanned-for-what		
pbrs:glass-over-03	become glass-like in appearance	pblr:glass-over-03.thing-becoming-glass-like		
pbrs:glaze-01	(cause to) have a sheen	pblr:glaze-01.thing-now-shiny		
pbrs:glaze-01	(cause to) have a sheen	pblr:glaze-01.glazer		
pbrs:glaze-over-02	come to have a glaze	pblr:glaze-over-02.thing-now-glazed		
pbrs:gleam-01	reflect light well	pblr:gleam-01.gleaming-thing		va:0501f
pbrs:glean-01	to collect bit by bit	pblr:glean-01.entity-gleaned-from		va:0321f
pbrs:glean-01	to collect bit by bit	pblr:glean-01.entity-gleaned		va:0321f
pbrs:glean-01	to collect bit by bit	pblr:glean-01.collector		va:0321f
pbrs:glide-01	to move	pblr:glide-01.entity-gliding		va:0175f
pbrs:glide-02	fly a glider or fly a plane by gliding	pblr:glide-02.pilot		
pbrs:glide-02	fly a glider or fly a plane by gliding	pblr:glide-02.plane		
pbrs:glimmer-01	give off glimmering lights	pblr:glimmer-01.entity-glimmering		
pbrs:glimpse-01	catch a glimpse	pblr:glimpse-01.thing-looked-at		
pbrs:glimpse-01	catch a glimpse	pblr:glimpse-01.looker		
pbrs:glint-01	emit light intermittently	pblr:glint-01.thing-emitting-light		
pbrs:glint-02	look at with shining eyes	pblr:glint-02.looker		
pbrs:glint-02	look at with shining eyes	pblr:glint-02.sight		
pbrs:glisten-01	reflect light moistly	pblr:glisten-01.thing-glistening		va:0501f
pbrs:glitter-01	shine, sparkle	pblr:glitter-01.glittering-thing		va:0501f
pbrs:gloat-01	to feel or express great self-satisfaction	pblr:gloat-01.topic-of-gloating		va:0150f
pbrs:gloat-01	to feel or express great self-satisfaction	pblr:gloat-01.person-gloating		va:0150f
pbrs:global-02		pblr:global-02.thing-reaching-the-whole-world		
pbrs:global-02		pblr:global-02.cause		
pbrs:globalize-01	make global, bring to the whole globe	pblr:globalize-01.entity-made-global		va:0430f
pbrs:globalize-01	make global, bring to the whole globe	pblr:globalize-01.agent		va:0430f
pbrs:globetrot-01	mode of motion	pblr:globetrot-01.trotter		
pbrs:globetrot-01	mode of motion	pblr:globetrot-01.path		
pbrs:glom-01	fasten by glomming	pblr:glom-01.causer-of-connection		
pbrs:glom-01	fasten by glomming	pblr:glom-01.additional-thing		
pbrs:glom-01	fasten by glomming	pblr:glom-01.fastener		
pbrs:glom-01	fasten by glomming	pblr:glom-01.first-thing-fastened		
pbrs:glorify-01	sing the praises of, extol	pblr:glorify-01.glorified-as-what		va:0101f
pbrs:glorify-01	sing the praises of, extol	pblr:glorify-01.really		va:0101f
pbrs:glorify-01	sing the praises of, extol	pblr:glorify-01.glorifier		va:0101f
pbrs:glory-01	feel glory, awe, inspiring awe	pblr:glory-01.glorious-thing		
pbrs:glory-01	feel glory, awe, inspiring awe	pblr:glory-01.entity-experiencing-awe		
pbrs:gloss-02	have a lustre	pblr:gloss-02.glossy-thing		
pbrs:gloss-02	have a lustre	pblr:gloss-02.causer-of-glossiness		
pbrs:gloss-over-01	discretely ignore	pblr:gloss-over-01.glosser-over		
pbrs:gloss-over-01	discretely ignore	pblr:gloss-over-01.thing-glossed-over		
pbrs:glove-01	to cover with or as if with a glove	pblr:glove-01.agentive-glover		
pbrs:glove-01	to cover with or as if with a glove	pblr:glove-01.thing-gloved		
pbrs:glove-01	to cover with or as if with a glove	pblr:glove-01.instrument		
pbrs:glow-01	to shine brightly and steadily, to be radiant	pblr:glow-01.fixed-phrase		va:0501f
pbrs:glow-01	to shine brightly and steadily, to be radiant	pblr:glow-01.entity-glowing		va:0501f
pbrs:glower-01	give a dirty look	pblr:glower-01.glowerer		
pbrs:glower-01	give a dirty look	pblr:glower-01.target-of-unapproval		
pbrs:glue-01	attach with glue	pblr:glue-01.entity-glued-to		va:0419f
pbrs:glue-01	attach with glue	pblr:glue-01.entity-glued		va:0419f
pbrs:glue-01	attach with glue	pblr:glue-01.causer-of-attachment		va:0419f
pbrs:glut-01	fill beyond capacity	pblr:glut-01.substance		va:0496f
pbrs:glut-01	fill beyond capacity	pblr:glut-01.causer-of-glut		va:0496f
pbrs:glut-01	fill beyond capacity	pblr:glut-01.container		va:0496f
pbrs:glutenize-01	make gluten like	pblr:glutenize-01.agent		
pbrs:glutenize-01	make gluten like	pblr:glutenize-01.glutenized-entity		
pbrs:glycosylate-01	to add glyosyl radicals to a protein to form a glycoprotein	pblr:glycosylate-01.result-of-glycosylation		
pbrs:glycosylate-01	to add glyosyl radicals to a protein to form a glycoprotein	pblr:glycosylate-01.agent		
pbrs:glycosylate-01	to add glyosyl radicals to a protein to form a glycoprotein	pblr:glycosylate-01.instrument		
pbrs:glycosylate-01	to add glyosyl radicals to a protein to form a glycoprotein	pblr:glycosylate-01.protein-glycosylated		
pbrs:gnash-01	grind together	pblr:gnash-01.thing-being-ground		
pbrs:gnash-01	grind together	pblr:gnash-01.causer-of-grinding		
pbrs:gnash-02	remove through grinding	pblr:gnash-02.causer-of-removal		
pbrs:gnash-02	remove through grinding	pblr:gnash-02.source-of-arg1		
pbrs:gnash-02	remove through grinding	pblr:gnash-02.thing-being-removed		
pbrs:gnaw-01	bite, chew on	pblr:gnaw-01.gnawer		va:0051f
pbrs:gnaw-01	bite, chew on	pblr:gnaw-01.thing-chewed		va:0051f
pbrs:gnaw-02	to cause persistent worry or pain	pblr:gnaw-02.causer		
pbrs:gnaw-02	to cause persistent worry or pain	pblr:gnaw-02.gnawed-at		
pbrs:go-01	motion	pblr:go-01.extent		va:0629f
pbrs:go-01	motion	pblr:go-01.extent		va:0137f
pbrs:go-01	motion	pblr:go-01.extent		va:0022f
pbrs:go-01	motion	pblr:go-01.end-point		va:0629f
pbrs:go-01	motion	pblr:go-01.end-point		va:0137f
pbrs:go-01	motion	pblr:go-01.end-point		va:0022f
pbrs:go-01	motion	pblr:go-01.start-point		va:0629f
pbrs:go-01	motion	pblr:go-01.start-point		va:0137f
pbrs:go-01	motion	pblr:go-01.start-point		va:0022f
pbrs:go-01	motion	pblr:go-01.entity-in-motion		va:0629f
pbrs:go-01	motion	pblr:go-01.entity-in-motion		va:0137f
pbrs:go-01	motion	pblr:go-01.entity-in-motion		va:0022f
pbrs:go-02	self-directed motion, disapear or go away	pblr:go-02.goer		va:0264f
pbrs:go-02	self-directed motion, disapear or go away	pblr:go-02.goer		va:0119f
pbrs:go-02	self-directed motion, disapear or go away	pblr:go-02.goer		va:0114f
pbrs:go-02	self-directed motion, disapear or go away	pblr:go-02.start-point		va:0264f
pbrs:go-02	self-directed motion, disapear or go away	pblr:go-02.start-point		va:0119f
pbrs:go-02	self-directed motion, disapear or go away	pblr:go-02.start-point		va:0114f
pbrs:go-02	self-directed motion, disapear or go away	pblr:go-02.journey		va:0264f
pbrs:go-02	self-directed motion, disapear or go away	pblr:go-02.journey		va:0119f
pbrs:go-02	self-directed motion, disapear or go away	pblr:go-02.journey		va:0114f
pbrs:go-02	self-directed motion, disapear or go away	pblr:go-02.end-point		va:0264f
pbrs:go-02	self-directed motion, disapear or go away	pblr:go-02.end-point		va:0119f
pbrs:go-02	self-directed motion, disapear or go away	pblr:go-02.end-point		va:0114f
pbrs:go-03	pursue (often with after)	pblr:go-03.goal		va:0173f
pbrs:go-03	pursue (often with after)	pblr:go-03.goal		va:0053f
pbrs:go-03	pursue (often with after)	pblr:go-03.goal		va:0014f
pbrs:go-03	pursue (often with after)	pblr:go-03.pursuer		va:0173f
pbrs:go-03	pursue (often with after)	pblr:go-03.pursuer		va:0053f
pbrs:go-03	pursue (often with after)	pblr:go-03.pursuer		va:0014f
pbrs:go-05	serial verb construction	pblr:go-05.subsequent-action		va:0188f
pbrs:go-05	serial verb construction	pblr:go-05.subsequent-action		va:0009f
pbrs:go-05	serial verb construction	pblr:go-05.subsequent-action		va:0114f
pbrs:go-05	serial verb construction	pblr:go-05.subject		va:0188f
pbrs:go-05	serial verb construction	pblr:go-05.subject		va:0009f
pbrs:go-05	serial verb construction	pblr:go-05.subject		va:0114f
pbrs:go-06	proceed (with a variety of prepositions)	pblr:go-06.entity-proceeding		va:0114f
pbrs:go-06	proceed (with a variety of prepositions)	pblr:go-06.entity-proceeding		va:0183f
pbrs:go-06	proceed (with a variety of prepositions)	pblr:go-06.direction		va:0114f
pbrs:go-06	proceed (with a variety of prepositions)	pblr:go-06.direction		va:0183f
pbrs:go-06	proceed (with a variety of prepositions)	pblr:go-06.project		va:0114f
