pbframe	pbframelabel	pbrole	fnframe	vaframe
pbrs:evacuate-01	cause to be empty (of people), empty	pblr:evacuate-01.people		va:0239f
pbrs:evade-01	stay away from, avoiding, dodging	pblr:evade-01.avoider		va:0260f
pbrs:evade-01	stay away from, avoiding, dodging	pblr:evade-01.thing-avoided		va:0260f
pbrs:evaluate-01	make a judgement about, assessment	pblr:evaluate-01.entity-evaluated		va:0021f
pbrs:evaluate-01	make a judgement about, assessment	pblr:evaluate-01.thing-that-arg1-is-evaluated-in-search-of		va:0021f
pbrs:evaluate-01	make a judgement about, assessment	pblr:evaluate-01.the-judgment-made-as-a-result-of-the-evaluation		va:0021f
pbrs:evaluate-01	make a judgement about, assessment	pblr:evaluate-01.evaluator		va:0021f
pbrs:evaluate-101	monitor or measure a medical condition	pblr:evaluate-101.monitorer		
pbrs:evaluate-101	monitor or measure a medical condition	pblr:evaluate-101.condition		
pbrs:evaluate-101	monitor or measure a medical condition	pblr:evaluate-101.patient		
pbrs:evangelize-01	(seek to) convert to christianity	pblr:evangelize-01.evangelist		
pbrs:evangelize-01	(seek to) convert to christianity	pblr:evangelize-01.entity-preached-to		
pbrs:evangelize-01	(seek to) convert to christianity	pblr:evangelize-01.christianity		
pbrs:evaporate-01	change from liquid to vapor	pblr:evaporate-01.heat-source		va:0248f
pbrs:evaporate-01	change from liquid to vapor	pblr:evaporate-01.liquid		va:0248f
pbrs:even-02	equalize, make uniform, equal, without variation	pblr:even-02.domain-of-evenness		
pbrs:even-02	equalize, make uniform, equal, without variation	pblr:even-02.first-equal-thing		
pbrs:even-02	equalize, make uniform, equal, without variation	pblr:even-02.second-equal-thing		
pbrs:even-03	divisible by 2	pblr:even-03.number-divisible-by-2		
pbrs:even-out-01	to make or become even	pblr:even-out-01.causer-of-evenness		
pbrs:even-out-01	to make or become even	pblr:even-out-01.entity-evened		
pbrs:eventuate-01	to happen in the end, result in	pblr:eventuate-01.results-of-event		
pbrs:eventuate-01	to happen in the end, result in	pblr:eventuate-01.event-transpiring		
pbrs:evert-01	turning inside out	pblr:evert-01.thing-now-inside-out		
pbrs:evert-01	turning inside out	pblr:evert-01.agent		
pbrs:evict-01	to put out a tenant by legal process	pblr:evict-01.tennant		
pbrs:evict-01	to put out a tenant by legal process	pblr:evict-01.domicile		
pbrs:evict-01	to put out a tenant by legal process	pblr:evict-01.landlord		
pbrs:evidence-01	provide proof for, proven/proving	pblr:evidence-01.proof		va:0024f
pbrs:evidence-01	provide proof for, proven/proving	pblr:evidence-01.thing-proved		va:0024f
pbrs:evil-01	the worst, morally	pblr:evil-01.evil-behavior		
pbrs:evil-01	the worst, morally	pblr:evil-01.evil-one		
pbrs:evil-01	the worst, morally	pblr:evil-01.affected-entity		
pbrs:evince-01	to show clearly	pblr:evince-01.shower		va:0162f
pbrs:evince-01	to show clearly	pblr:evince-01.thing-shown		va:0162f
pbrs:eviscerate-01	remove the viscera (innards)	pblr:eviscerate-01.remover		va:0457f
pbrs:eviscerate-01	remove the viscera (innards)	pblr:eviscerate-01.victim		va:0457f
pbrs:evoke-01	summon, make allusions to	pblr:evoke-01.thing-evoked		va:0435f
pbrs:evoke-01	summon, make allusions to	pblr:evoke-01.evoker		va:0435f
pbrs:evoke-01	summon, make allusions to	pblr:evoke-01.instrument		va:0435f
pbrs:evolve-01	change form, changing from one form into another	pblr:evolve-01.thing-changing		va:0157f
pbrs:evolve-01	change form, changing from one form into another	pblr:evolve-01.end-state		va:0157f
pbrs:evolve-01	change form, changing from one form into another	pblr:evolve-01.start-state		va:0157f
pbrs:evolve-02	acquire characteristics through evolution, acquiring characteristics	pblr:evolve-02.characteristics-acquired		va:0157f
pbrs:evolve-02	acquire characteristics through evolution, acquiring characteristics	pblr:evolve-02.thing-acquring		va:0157f
pbrs:evolve-02	acquire characteristics through evolution, acquiring characteristics	pblr:evolve-02.agent		va:0157f
pbrs:evulse-01	remove	pblr:evulse-01.thing-extracted		
pbrs:evulse-01	remove	pblr:evulse-01.extracted-from		
pbrs:evulse-01	remove	pblr:evulse-01.remover		
pbrs:exacerbate-01	make worse	pblr:exacerbate-01.causer		va:0432f
pbrs:exacerbate-01	make worse	pblr:exacerbate-01.thing-getting-worse		va:0432f
pbrs:exact-01	get, obtain	pblr:exact-01.receiver		va:0330f
pbrs:exact-01	get, obtain	pblr:exact-01.received-from		va:0330f
pbrs:exact-01	get, obtain	pblr:exact-01.thing-obtained		va:0330f
pbrs:exaggerate-01	make seem bigger	pblr:exaggerate-01.liar-liar		va:0430f
pbrs:exaggerate-01	make seem bigger	pblr:exaggerate-01.thing-exaggerated		va:0430f
pbrs:exalt-01	elevate in status	pblr:exalt-01.entity-being-elevated		va:0101f
pbrs:exalt-01	elevate in status	pblr:exalt-01.causer-of-elevation		va:0101f
pbrs:examination-02	test	pblr:examination-02.examiner		
pbrs:examination-02	test	pblr:examination-02.examined		
pbrs:examination-02	test	pblr:examination-02.subject		
pbrs:examine-01	look at closely	pblr:examine-01.thing-examined		va:0176f
pbrs:examine-01	look at closely	pblr:examine-01.examiner		va:0176f
pbrs:examine-01	look at closely	pblr:examine-01.in-search-of-what		va:0176f
pbrs:exapt-01		pblr:exapt-01.thing-adapted-to-something-outside-its-original-function		
pbrs:exapt-01		pblr:exapt-01.former-purpose		
pbrs:exapt-01		pblr:exapt-01.new-purpose		
pbrs:exapt-01		pblr:exapt-01.outside-agent		
pbrs:exasperate-01	vex greatly	pblr:exasperate-01.instrument		
pbrs:exasperate-01	vex greatly	pblr:exasperate-01.annoyed		
pbrs:exasperate-01	vex greatly	pblr:exasperate-01.annoyer		
pbrs:excavate-01	dig a big hole	pblr:excavate-01.excavator		va:0453f
pbrs:excavate-01	dig a big hole	pblr:excavate-01.hole		va:0453f
pbrs:exceed-01	be more than	pblr:exceed-01.thing-that-s-less		va:0486f
pbrs:exceed-01	be more than	pblr:exceed-01.thing-that-s-more		va:0486f
pbrs:exceed-01	be more than	pblr:exceed-01.margin		va:0486f
pbrs:excel-01	be very good (at), extremely skilled at	pblr:excel-01.very-good-entity		va:0104f
pbrs:excel-01	be very good (at), extremely skilled at	pblr:excel-01.domain		va:0104f
pbrs:excellent-02	generally superb	pblr:excellent-02.target		
pbrs:excellent-02	generally superb	pblr:excellent-02.superb-thing		
pbrs:excellent-03	extremely beneficial, healthful	pblr:excellent-03.beneficial		
pbrs:excellent-03	extremely beneficial, healthful	pblr:excellent-03.beneficiary		
pbrs:except-01	to leave out, exclude	pblr:except-01.entity-excepted		va:0598f
pbrs:except-01	to leave out, exclude	pblr:except-01.excluded-from-what		va:0598f
